station_name,label
E 132 St & Madison Ave,2
E 133 St & Cypress Pl,2
E 134 St & Walnut Ave,1
E 135 St & St Ann's Ave,2
E 138 St & 5 Av,1
E 138 St & Grand Concourse,2
E 138 St & Willow Ave,1
E 144 St & Brook Ave,1
E 149 St & Morris Ave,2
E 15 St & 3 Ave,2
E 16 St & 5 Ave,0
E 16 St & Irving Pl,0
E 17 St & Broadway,0
E 19 St & 3 Ave,1
E 2 St & 2 Ave,2
E 2 St & Avenue A,1
E 2 St & Avenue B,1
E 2 St & Avenue C,1
E 20 St & 2 Ave,1
E 20 St & FDR Drive,1
E 20 St & Park Ave,0
E 23 St & 1 Ave,1
E 24 St & Park Ave S,0
E 25 St & 1 Ave,1
E 25 St & 2 Ave,1
E 27 St & 1 Ave,0
E 30 St & Park Ave S,0
E 31 St & 3 Ave,1
E 32 St & Park Ave,0
E 33 St & 1 Ave,0
E 33 St & 5 Ave,0
E 39 St & 2 Ave,1
E 39 St & 3 Ave,0
E 4 St & 2 Ave,1
E 41 St & Madison Ave,0
E 43 St & 2 Ave,0
E 43 St & 5 Ave,0
E 45 St & 3 Ave,0
E 47 St & 1 Ave,0
E 47 St & 2 Ave,0
E 47 St & Park Ave,0
E 48 St & 3 Ave,0
E 48 St & 5 Ave,0
E 5 St & Avenue C,1
E 51 St & 1 Ave,1
E 51 St & 2 Ave,2
E 51 St & Lexington Ave,0
E 53 St & Lexington Ave,0
E 53 St & Madison Ave,0
E 55 St & 2 Ave,2
E 56 St & 3 Ave,0
E 56 St & Madison Ave,0
E 58 St &  1 Ave (NW Corner),2
E 58 St & 1 Ave (NE Corner),2
E 58 St & 3 Ave,0
E 58 St & Madison Ave,0
E 59 St & Madison Ave,0
E 6 St & Avenue B,1
E 6 St & Avenue D,1
E 60 St & York Ave,2
E 63 St & 3 Ave,2
E 65 St & 2 Ave,2
E 66 St & Madison Ave,0
E 67 St & Park Ave,2
E 68 St & 3 Ave,2
E 68 St & Madison Ave,2
E 7 St & Avenue A,1
E 72 St & Park Ave,2
E 72 St & York Ave,0
