station_name,label
"Gwendwr Road, West Kensington",1
"Haggerston Road, Haggerston",2
"Halford Road, West Kensington",1
"Hammersmith Road, Hammersmith",1
"Hampstead Road (Cartmel), Euston",1
"Hampstead Road, Euston",0
"Hampton Street, Walworth",1
"Handyside Street, King's Cross",1
"Hansard Mews, Holland Park",1
"Harcourt Terrace, West Brompton",1
"Hardwick Street, Clerkenwell",0
"Harford Street, Mile End",1
"Harper Road, The Borough",1
"Harriet Street, Knightsbridge",0
"Harrington Square 1, Camden Town",1
"Harrington Square 2, Camden Town",1
"Harrowby Street, Marylebone",1
"Hartington Road, Stockwell",1
"Hatton Garden, Holborn",0
"Hatton Wall, Holborn",1
"Hawley Crescent, Camden Town",1
"Heath Road, Battersea",1
"Here East North, Queen Elizabeth Olympic Park",0
"Here East South, Queen Elizabeth Olympic Park",1
"Hereford Road, Bayswater",1
"Hermitage Court, Wapping",1
"Heron Quays DLR, Canary Wharf",1
"Hertford Road, De Beauvoir Town",1
"Hewison Street, Old Ford",1
"Hibbert Street, Battersea",1
"High Holborn , Covent Garden",0
"Hinde Street, Marylebone",0
"Holborn Circus, Holborn",0
"Holden Street, Battersea",1
"Holland Park, Kensington",0
"Hollybush Gardens, Bethnal Green",1
"Holy Trinity Brompton, Knightsbridge",0
"Hop Exchange, The Borough",2
"Horseferry Road, Westminster",1
"Hortensia Road, West Brompton",1
"Houghton Street, Strand",0
"Houndsditch, Aldgate",0
"Howick Place, Westminster",0
"Howland Street, Fitzrovia",0
"Hoxton Station, Hoxton",1
"Hoxton Street, Hoxton",1
"Humbolt Road, Fulham",1
"Hurlingham Park, Parsons Green",1
"Hyde Park Corner, Hyde Park",0
"Ilchester Gardens, Bayswater",1
"Ilchester Place, Kensington",1
"Imperial College, Knightsbridge",0
"Imperial Road, Sands End",1
"Imperial Wharf Station, Sands End",1
"Import Dock, Canary Wharf",1
"Ingrave Street, Clapham Junction",1
"Irene Road, Parsons Green",1
"Islington Green, Angel",1
"Jewry Street, Aldgate",0
"Jubilee Crescent, Cubitt Town",1
"Jubilee Gardens, South Bank",1
"Jubilee Plaza, Canary Wharf",2
"Jubilee Street, Stepney",1
"Kennington Cross, Kennington",1
"Kennington Lane Rail Bridge, Vauxhall",2
"Kennington Oval, Oval",1
"Kennington Road  , Vauxhall",1
"Kennington Road Post Office, Oval",1
"Kennington Station, Kennington",1
"Kensington Church Street, Kensington",1
"Kensington Gore, Knightsbridge",0
"Kensington Olympia Station, Olympia",1
"Kensington Town Hall, Kensington",1
"Killick Street, King's Cross",1
"King Edward Street, St Pauls",0
"King Edward Walk, Waterloo",1
"Kings Gate House, Westminster",0
"Kingsway Southbound, Strand",0
"Kingsway, Covent Garden",1
"Knaresborough Place, Earl's Court",1
"Knightsbridge, Hyde Park",0
"LMU Commercial Road, Whitechapel",1
"LSBU (Borough Road), Elephant & Castle",1
"Ladbroke Grove Central, Ladbroke Grove",1
"Lambeth North Station, Waterloo",1
"Lambeth Palace Road, Waterloo",0
"Lambeth Road, Vauxhall",0
"Lancaster Drive, Blackwall",1
"Lancaster Gate , Bayswater",1
"Langdon Park, Poplar",1
"Lansdowne Road, Ladbroke Grove",1
"Lansdowne Walk, Ladbroke Grove",1
"Lavington Street, Bankside",0
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",1
"Leman Street, Aldgate",1
"Leonard Circus , Shoreditch",1
"Lexham Gardens, Kensington",1
"Lightermans Road, Millwall",1
"Limburg Road, Clapham Junction",1
"Limerston Street, West Chelsea",1
